Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol
Transavia,9:05 AM,10:35 AM,€101,2 hr 30 min,ORYParis-Orly Airport,2024-09-20
Transavia,4:15 PM,5:45 PM,€101,2 hr 30 min,ORYParis-Orly Airport,2024-09-20
Transavia,8:10 PM,9:40 PM,€101,2 hr 30 min,ORYParis-Orly Airport,2024-09-20
Nouvelair Tunisie,10:20 PM,11:50 PM,€103,2 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-20
Tunisair,3:00 PM,4:25 PM,€112,2 hr 25 min,ORYParis-Orly Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",7:00 AM,12:35 PM,€125,6 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",8:30 AM,12:35 PM,€135,5 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",4:40 PM,11:45 PM,€147,8 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",8:35 PM,4:55 PM+1,€148,21 hr 20 min,BVABeauvais–Tillé Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",5:40 PM,11:45 PM,€151,7 hr 5 min,CDGParis Charles de Gaulle Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreWizz Air, Tunisair",4:40 PM,12:35 PM+1,€157,20 hr 55 min,BVABeauvais–Tillé Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",8:35 PM,11:05 AM+1,€157,15 hr 30 min,BVABeauvais–Tillé Airport,2024-09-20
Tunisair,8:30 PM,9:55 PM,€158,2 hr 25 min,ORYParis-Orly Airport,2024-09-20
Tunisair,10:00 PM,11:25 PM,€158,2 hr 25 min,ORYParis-Orly Airport,2024-09-20
"Separate tickets booked togetherThis trip includes tickets from multiple airlines. Missed connections may be protected by Kiwi.com. Learn moreeasyJet, Tunisair",6:50 PM,11:35 PM,€162,5 hr 45 min,CDGParis Charles de Gaulle Airport,2024-09-20
