Compagnie,Heure_du_départ,Heure_arrivée,Prix,Durée,aéroport,jour_du_vol,Compagnie_code,weekend_verif
TURKISH AIRLINES,4:05 PM,10:40 PM,554.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-26,16,False
TURKISH AIRLINES,7:20 AM,4:15 PM,554.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-19,16,False
TURKISH AIRLINES,7:50 PM,4:15 PM+1,554.0,21 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-20,16,False
TURKISH AIRLINES,7:20 AM,10:40 PM,554.0,16 hr 20 min,CDGParis Charles de Gaulle Airport,2024-09-23,16,False
TURKISH AIRLINES,2:10 PM,10:40 PM,554.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-26,16,False
TURKISH AIRLINES,11:05 AM,9:05 AM+1,555.0,23 hr,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,12:05 PM,9:05 AM+1,555.0,22 hr,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,2:10 PM,9:05 AM+1,555.0,19 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,4:05 PM,9:05 AM+1,555.0,18 hr,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
TURKISH AIRLINES,5:55 PM,9:05 AM+1,555.0,16 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-05,16,False
LUFTHANSA,6:45 AM,4:25 PM,557.0,10 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-21,7,True
LUFTHANSA,12:10 PM,4:25 PM,557.0,5 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-21,7,True
LUFTHANSA,9:00 AM,4:25 PM,557.0,8 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-21,7,True
TURKISH AIRLINES,7:20 AM,4:15 PM,558.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-17,16,False
TURKISH AIRLINES,12:05 PM,10:40 PM,558.0,11 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-17,16,False
TURKISH AIRLINES,2:10 PM,10:40 PM,558.0,9 hr 30 min,CDGParis Charles de Gaulle Airport,2024-09-17,16,False
TURKISH AIRLINES,4:05 PM,10:40 PM,558.0,7 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-17,16,False
TURKISH AIRLINES,11:05 AM,10:40 PM,558.0,12 hr 35 min,CDGParis Charles de Gaulle Airport,2024-09-17,16,False
LUFTHANSA,8:35 PM,4:25 PM+1,561.0,20 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-20,7,False
"SWISS, LUFTHANSA",8:20 PM,10:45 AM+1,563.0,15 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-26,13,False
"SWISS, LUFTHANSA",9:45 AM,11:10 PM,563.0,14 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-27,13,False
LUFTHANSA,2:30 PM,11:10 PM,564.0,9 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-15,7,True
LUFTHANSA,6:00 AM,10:50 AM,564.0,5 hr 50 min,CDGParis Charles de Gaulle Airport,2024-09-23,7,False
LUFTHANSA,7:25 AM,10:50 AM,564.0,4 hr 25 min,CDGParis Charles de Gaulle Airport,2024-09-23,7,False
TURKISH AIRLINES,4:05 PM,4:15 PM+1,564.0,25 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-26,16,False
LUFTHANSA,10:30 AM,11:10 PM,564.0,13 hr 40 min,CDGParis Charles de Gaulle Airport,2024-09-08,7,True
TURKISH AIRLINES,7:20 AM,4:15 PM,564.0,9 hr 55 min,CDGParis Charles de Gaulle Airport,2024-09-27,16,False
TURKISH AIRLINES,7:50 PM,9:05 AM+1,564.0,14 hr 15 min,CDGParis Charles de Gaulle Airport,2024-09-19,16,False
TURKISH AIRLINES,5:55 PM,9:05 AM+1,564.0,16 hr 10 min,CDGParis Charles de Gaulle Airport,2024-09-19,16,False
